word,frequency
crashed during takeoff.,15
crashed into a mountain.,12
crashed into the sea.,12
crashed while en route.,12
crashed on takeoff.,11
struck a mountain.,11
crashed shortly after taking off.,10
crashed en route.,8
crashed into a mountain while en route.,8
flew into a mountain.,8
cargo plane.,7
crashed on approach.,7
engine failure.,7
pilot error.,7
weather related.,6
crashed while attempting to land.,5
the cargo plane crashed.,5
